sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
id,30.78880211,76.34673631,628845.0,3407015.0,44.6,47.9,17.8,40.56,LOW,MODERATE,LOW
filebc494d5a79.1,30.75083684,76.30378663,624795.0,3402715.0,34.4,40.9,17.9,33.699999999999996,LOW,LOW,LOW
filebc494d5a79.2,30.86052871,76.36697308,630695.0,3414945.0,31.9,43.1,14.9,32.980000000000004,LOW,LOW,LOW
filebc494d5a79.3,30.77359641,76.354353,629605.0,3405295.0,44.7,53.6,19.6,43.24000000000001,LOW,MODERATE,LOW
filebc494d5a79.4,30.73686448,76.34673631,628925.0,3401215.0,29.3,35.9,20.1,30.099999999999998,LOW,LOW,LOW
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,36.4,48.8,13.8,36.839999999999996,LOW,MODERATE,LOW
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,48.8,54.3,12.8,43.8,MODERATE,MODERATE,LOW
filebc494d5a79.7,30.80703252,76.30517202,624855.0,3408945.0,30.1,42.7,7.9,30.700000000000003,LOW,LOW,LOW
filebc494d5a79.8,30.76038993,76.41664364,635585.0,3403905.0,31.9,42.7,17.0,33.24,LOW,LOW,LOW
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,49.9,49.7,18.2,43.480000000000004,MODERATE,MODERATE,LOW
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,59.5,56.7,20.3,50.540000000000006,MODERATE,MODERATE,LOW
filebc494d5a79.11,30.80631827,76.3995481,633885.0,3408975.0,37.6,49.6,18.8,38.64,LOW,MODERATE,LOW
filebc494d5a79.12,30.79489107,76.33677986,627895.0,3407635.0,38.8,35.3,16.5,32.94,LOW,LOW,LOW
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,45.8,53.3,14.3,42.5,MODERATE,MODERATE,LOW
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,39.9,46.9,10.4,36.8,LOW,MODERATE,LOW
filebc494d5a79.15,30.78460251,76.38857446,632865.0,3406555.0,45.2,51.3,8.2,40.24,MODERATE,MODERATE,LOW
filebc494d5a79.16,30.7351024,76.32509108,626855.0,3400995.0,26.0,40.5,11.2,28.84,LOW,LOW,LOW
filebc494d5a79.17,30.86309845,76.33688871,627815.0,3415195.0,22.5,33.9,20.3,26.620000000000005,LOW,LOW,LOW
filebc494d5a79.18,30.76038623,76.39198776,633225.0,3403875.0,27.0,42.3,14.1,30.54,LOW,LOW,LOW
filebc494d5a79.19,30.78125961,76.32875393,627145.0,3406115.0,39.3,46.2,16.5,37.5,LOW,MODERATE,LOW
filebc494d5a79.20,30.7851634,76.30863864,625215.0,3406525.0,37.5,46.4,15.2,36.6,LOW,MODERATE,LOW
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,52.5,57.0,16.1,47.019999999999996,MODERATE,MODERATE,LOW
filebc494d5a79.22,30.85764725,76.32300841,626495.0,3414575.0,36.4,49.8,18.8,38.24,LOW,MODERATE,LOW
filebc494d5a79.23,30.84161577,76.3637771,630415.0,3412845.0,48.9,47.5,18.2,42.2,MODERATE,MODERATE,LOW
filebc494d5a79.24,30.86152545,76.35799298,629835.0,3415045.0,36.5,53.7,5.2,37.120000000000005,LOW,MODERATE,LOW
filebc494d5a79.25,30.72915588,76.32427862,626785.0,3400335.0,47.0,43.3,32.4,42.60000000000001,MODERATE,LOW,LOW
filebc494d5a79.26,30.80057932,76.30090402,624455.0,3408225.0,39.8,60.4,14.3,42.94,LOW,MODERATE,LOW
filebc494d5a79.27,30.71836689,76.34689685,628965.0,3399165.0,59.7,51.3,25.6,49.52000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.28,30.81260892,76.33347109,627555.0,3409595.0,64.3,62.3,18.8,54.4,MODERATE,MODERATE,LOW
filebc494d5a79.29,30.78760229,76.39488778,633465.0,3406895.0,30.3,40.9,16.5,31.78,LOW,LOW,LOW
filebc494d5a79.30,30.83375502,76.29455518,623805.0,3411895.0,63.0,59.9,18.0,52.760000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.31,30.78880211,76.40075737,634025.0,3407035.0,48.2,44.4,23.2,41.68000000000001,MODERATE,LOW,LOW
filebc494d5a79.32,30.79099305,76.39838547,633795.0,3407275.0,47.8,49.7,19.9,42.98,MODERATE,MODERATE,LOW
filebc494d5a79.33,30.78263703,76.34392527,628595.0,3406285.0,50.7,50.5,17.3,43.940000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.34,30.80085358,76.33602623,627815.0,3408295.0,46.9,50.2,19.7,42.78,MODERATE,MODERATE,LOW
filebc494d5a79.35,30.74237002,76.32905543,627225.0,3401805.0,44.5,52.4,15.3,41.82000000000001,LOW,MODERATE,LOW
filebc494d5a79.36,30.75916576,76.31883872,626225.0,3403655.0,46.4,48.8,15.6,41.199999999999996,MODERATE,MODERATE,LOW
